subgroup,model_a,model_b,delta,p_value,p_value_corrected,significant
Overall,resnet_baseline,ecg_fm,-0.009868,0.001953,0.046875,True
Overall,resnet_baseline,ecg_fm_e2e,-0.011839,0.001953,0.046875,True
Overall,ecg_fm,ecg_fm_e2e,-0.001971,0.130859,1.0,False
Male,resnet_baseline,ecg_fm,-0.006606,0.001953,0.046875,True
Male,resnet_baseline,ecg_fm_e2e,-0.009815,0.001953,0.046875,True
Male,ecg_fm,ecg_fm_e2e,-0.003209,0.130859,1.0,False
Female,resnet_baseline,ecg_fm,-0.01368,0.001953,0.046875,True
Female,resnet_baseline,ecg_fm_e2e,-0.01449,0.001953,0.046875,True
Female,ecg_fm,ecg_fm_e2e,-0.00081,0.431641,1.0,False
White,resnet_baseline,ecg_fm,-0.005421,0.001953,0.046875,True
White,resnet_baseline,ecg_fm_e2e,-0.012946,0.001953,0.046875,True
White,ecg_fm,ecg_fm_e2e,-0.007525,0.003906,0.054688,False
Black,resnet_baseline,ecg_fm,-0.026996,0.001953,0.046875,True
Black,resnet_baseline,ecg_fm_e2e,-0.007754,0.048828,0.488281,False
Black,ecg_fm,ecg_fm_e2e,0.019242,0.001953,0.046875,True
Asian,resnet_baseline,ecg_fm,-0.013279,0.130859,1.0,False
Asian,resnet_baseline,ecg_fm_e2e,-0.021966,0.003906,0.054688,False
Asian,ecg_fm,ecg_fm_e2e,-0.008687,0.375,1.0,False
Other,resnet_baseline,ecg_fm,-0.023376,0.003906,0.054688,False
Other,resnet_baseline,ecg_fm_e2e,-0.010065,0.275391,1.0,False
Other,ecg_fm,ecg_fm_e2e,0.013311,0.083984,0.755859,False
Unknown,resnet_baseline,ecg_fm,-0.006551,0.232422,1.0,False
Unknown,resnet_baseline,ecg_fm_e2e,-0.011892,0.019531,0.214844,False
Unknown,ecg_fm,ecg_fm_e2e,-0.005341,0.322266,1.0,False
