model,subgroup,mean_cindex,std_cindex,n_folds,skipped_folds
resnet_baseline,Overall,0.800353,0.00584,10,
resnet_baseline,Male,0.800563,0.007436,10,
resnet_baseline,Female,0.798918,0.011354,10,
resnet_baseline,White,0.787109,0.008466,10,
resnet_baseline,Black,0.837013,0.013411,10,
resnet_baseline,Asian,0.807396,0.035767,10,
resnet_baseline,Other,0.843732,0.030093,10,
resnet_baseline,Unknown,0.797873,0.023295,10,
ecg_fm,Overall,0.790485,0.005372,10,
ecg_fm,Male,0.793957,0.007268,10,
ecg_fm,Female,0.785237,0.009623,10,
ecg_fm,White,0.781689,0.007234,10,
ecg_fm,Black,0.810017,0.0122,10,
ecg_fm,Asian,0.794118,0.039288,10,
ecg_fm,Other,0.820356,0.029653,10,
ecg_fm,Unknown,0.791322,0.021136,10,
ecg_fm_e2e,Overall,0.788514,0.005918,10,
ecg_fm_e2e,Male,0.790748,0.007886,10,
ecg_fm_e2e,Female,0.784427,0.007436,10,
ecg_fm_e2e,White,0.774163,0.008879,10,
ecg_fm_e2e,Black,0.829258,0.011048,10,
ecg_fm_e2e,Asian,0.78543,0.04277,10,
ecg_fm_e2e,Other,0.833667,0.025284,10,
ecg_fm_e2e,Unknown,0.78598,0.019069,10,
